"type_variant","type","entries","geoRegion","datum","date_unit","version"
"","COVID19CT_Iso",5594,"ZH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",0,"AG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",82,"AI",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",155,"AR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",4523,"BE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",0,"BL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",417,"BS",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",289,"FL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",947,"GE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",266,"GL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",685,"GR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",1944,"LU",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",790,"NE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",199,"OW",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",266,"SH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",1932,"SO",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",805,"SZ",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",811,"TG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",2146,"TI",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",248,"UR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",4850,"VD",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",1270,"VS",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",481,"ZG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Qua",10424,"ZH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",447,"AG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",0,"AI",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",16,"AR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",440,"BE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",204,"BL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",287,"BS",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",10,"FL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",949,"GE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",18,"GL",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",82,"GR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",250,"LU",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",44,"NE",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",18,"OW",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",50,"SH",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",155,"SO",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",121,"SZ",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",0,"TG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",205,"TI",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",9,"UR",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",1090,"VD",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",239,"VS",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",375,"ZG",2021-01-11,"day","2021-01-11_07-48-59"
"","COVID19CT_Entry",874,"ZH",2021-01-11,"day","2021-01-11_07-48-59"
